,Unnamed: 0,type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc,keyword
14,50,article,1734325,Rafael  del Vado V&#237;rseda,,,,A Visualization Tool for Tutoring the Interactive Learning of Data Structures and Algorithmic Schemes.,187--191,,5.0,"algorithmic schemes, computer science education, data structures",10.1145/1734263.1734325,,,,,,,2010.0,,Proceedings of the 41st ACM Technical Symposium on Computer Science Education,SIGCSE '10,,978-1-4503-0006-3,"Milwaukee, Wisconsin, USA",ACM,"New York, NY, USA",computer science accessibility education
20,62,article,1121376,John  DeHart and Fred  Kuhns and Jyoti  Parwatikar and Jonathan  Turner and Charlie  Wiseman and Ken  Wong,,,,The Open Network Laboratory,107--111,,5.0,"education, experimental computer science, real-time displays",10.1145/1121341.1121376,,,,,,,2006.0,,Proceedings of the 37th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '06,,1-59593-259-3,"Houston, Texas, USA",ACM,"New York, NY, USA",computer science accessibility education
22,66,article,1858454,Charles  Peck,,,,LittleFe: Parallel and Distributed Computing Education on the Move,16--22,,7.0,"computational science education, computer science education, outreach, portable cluster, undergraduate curriculum",,J. Comput. Sci. Coll.,October 2010,26,1,,October,2010.0,1937-4771,,,,,,Consortium for Computing Sciences in Colleges,USA,computer science accessibility education
24,69,article,1352257,Leigh Ann  Sudol,,,,Forging Connections Between Life and Class Using Reading Assignments: A Case Study,357--361,,5.0,"communication skills, computer science education, ethical/societal issues, women in computing",10.1145/1352322.1352257,SIGCSE Bull.,March 2008,40,1,,March,2008.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science accessibility education
31,90,article,1352142,Irene  Polycarpou and Ana  Pasztor and Malek  Adjouadi,,,,A Conceptual Approach to Teaching Induction for Computer Science,9--13,,5.0,"computer science education, induction principle, inductive sets, logic for computer science, proofs by induction, undergraduate computer science curricula",10.1145/1352322.1352142,SIGCSE Bull.,March 2008,40,1,,March,2008.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science accessibility education
40,106,article,1352246,Blair  Taylor and Shiva  Azadegan,,,,Moving Beyond Security Tracks: Integrating Security in Cs0 and Cs1,320--324,,5.0,"computer science curriculum, information security curriculum development, security education",10.1145/1352322.1352246,SIGCSE Bull.,March 2008,40,1,,March,2008.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science accessibility education
43,121,article,509114,David  Curtis and Edna E. Gentry and Steven I. Gordon and Susan  Ragan and Erich  Schroeder and Lisa  Bievenue and David  Emigh and Mary Ellen Verona,,,,The RiverWeb Toolsuite&Trade;: Bridging the Gap Between High-end Environmental Science and the Classroom,1--17,,17.0,"K-12 education, math education, science education, watersheds",,,,,,,,1998.0,,Proceedings of the 1998 ACM/IEEE Conference on Supercomputing,SC '98,,0-89791-984-X,"San Jose, CA",IEEE Computer Society,"Washington, DC, USA",computer science accessibility education
53,159,article,2844598,Nora A. Escherle and Silvia I. Ramirez-Ramirez and Ashok R. Basawapatna and Dorit  Assaf and Alexander  Repenning and Carmine  Maiello and Yasko Ch. Endo and Juan A. Nolazco-Flores,,,,Piloting Computer Science Education Week in Mexico,431--436,,6.0,"broadening participation, computer science education, computer science education in mexico, computer science education week, experience report, globalization of programming activities., international research",10.1145/2839509.2844598,,,,,,,2016.0,,Proceedings of the 47th ACM Technical Symposium on Computing Science Education,SIGCSE '16,,978-1-4503-3685-7,"Memphis, Tennessee, USA",ACM,"New York, NY, USA",computer science accessibility education
54,163,article,1352230,Robert H. Sloan and Patrick  Troy,,,,CS 0.5: A Better Approach to Introductory Computer Science for Majors,271--275,,5.0,"CS 1, computer science major, curriculum, retention",10.1145/1352322.1352230,SIGCSE Bull.,March 2008,40,1,,March,2008.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science accessibility education
59,172,article,2899431,Matthew  Love and Charles  Boisvert and Elizabeth  Uruchurtu and Ian  Ibbotson,,,,Nifty with Data: Can a Business Intelligence Analysis Sourced from Open Data Form a Nifty Assignment?,344--349,,6.0,"business intelligence, computer science education, nifty assignments, open data",10.1145/2899415.2899431,,,,,,,2016.0,,Proceedings of the 2016 ACM Conference on Innovation and Technology in Computer Science Education,ITiCSE '16,,978-1-4503-4231-5,"Arequipa, Peru",ACM,"New York, NY, USA",computer science accessibility education
64,184,article,1352167,Iretta B. Kearse and Charles R. Hardnett,,,,Computer Science Olympiad: Exploring Computer Science Through Competition,92--96,,5.0,"competition, computer programming, computer science education, hardware, olympiad, retention, robotics, software, world wide web",10.1145/1352322.1352167,SIGCSE Bull.,March 2008,40,1,,March,2008.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science accessibility education
69,189,article,3141804,Deborah A. Fields and Yasmin B. Kafai and Tomoko  Nakajima and Joanna  Goode,,,,Teaching Practices for Making E-Textiles in High School Computing Classrooms,5:1--5:8,5.0,8.0,"Equity, computer science education, e-textiles, making, teaching practice",10.1145/3141798.3141804,,,,,,,2017.0,,Proceedings of the 7th Annual Conference on Creativity and Fabrication in Education,FabLearn '17,,978-1-4503-6349-5,"Stanford, CA, USA",ACM,"New York, NY, USA",computer science accessibility education
72,195,article,2445348,Renee  Bryce and Quentin  Mayo and Aaron  Andrews and Daniel  Bokser and Michael  Burton and Chelynn  Day and Jessica  Gonzolez and Tara  Noble,,,,Bug Catcher: A System for Software Testing Competitions,513--518,,6.0,"computer science outreach, software testing competition",10.1145/2445196.2445348,,,,,,,2013.0,,Proceeding of the 44th ACM Technical Symposium on Computer Science Education,SIGCSE '13,,978-1-4503-1868-6,"Denver, Colorado, USA",ACM,"New York, NY, USA",computer science accessibility education
75,207,article,2844614,Zoe J. Wood and Paul  Muhl and Katelyn  Hicks,,,,Computational Art: Introducing High School Students to Computing via Art,261--266,,6.0,"applied computing - fine arts, computer science education, introductory programming, k-12 education",10.1145/2839509.2844614,,,,,,,2016.0,,Proceedings of the 47th ACM Technical Symposium on Computing Science Education,SIGCSE '16,,978-1-4503-3685-7,"Memphis, Tennessee, USA",ACM,"New York, NY, USA",computer science accessibility education
76,210,article,3017741,Brian  Broll and Akos  L&#233;deczi and Peter  Volgyesi and Janos  Sallai and Miklos  Maroti and Alexia  Carrillo and Stephanie L. Weeden-Wright and Chris  Vanags and Joshua D. Swartz and Melvin  Lu,,,,A Visual Programming Environment for Learning Distributed Programming,81--86,,6.0,"computer science education, distributed programming, snap!, visual programming",10.1145/3017680.3017741,,,,,,,2017.0,,Proceedings of the 2017 ACM SIGCSE Technical Symposium on Computer Science Education,SIGCSE '17,,978-1-4503-4698-6,"Seattle, Washington, USA",ACM,"New York, NY, USA",computer science accessibility education
77,212,article,2536537,Juan A. Juanes and Pablo  Ruisoto,,,,Technological Advances and Teaching Innovation Applied to Health Science Education,3--7,,5.0,"education, health science, medical informatics, technology",10.1145/2536536.2536537,,,,,,,2013.0,,Proceedings of the First International Conference on Technological Ecosystem for Enhancing Multiculturality,TEEM '13,,978-1-4503-2345-1,"Salamanca, Spain",ACM,"New York, NY, USA",computer science accessibility education
86,230,article,2325368,Ronit  Shmallo and Noa  Ragonis and David  Ginat,,,,Fuzzy OOP: Expanded and Reduced Term Interpretations,309--314,,6.0,"computer science education, expansion, object-oriented programming, reduction",10.1145/2325296.2325368,,,,,,,2012.0,,Proceedings of the 17th ACM Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE '12,,978-1-4503-1246-2,"Haifa, Israel",ACM,"New York, NY, USA",computer science accessibility education
92,247,article,1352275,"Antonio M. Lopez,Jr. and Kun  Zhang and Frederick G. Lopez",,,,Cultural Representations of Gender Among U. S. Computer Science Undergraduates: Statistical and Data Mining Results,407--411,,5.0,"computer science, culture, data mining, ethnicity, gender roles",10.1145/1352322.1352275,SIGCSE Bull.,March 2008,40,1,,March,2008.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science accessibility education
97,256,article,1352221,Mark A. Holliday and J. Traynham Houston and E. Matthew Jones,,,,From Sockets and RMI to Web Services,236--240,,5.0,"computer science education, java remote method invocation, net-centric computing, sockets, web services",10.1145/1352322.1352221,SIGCSE Bull.,March 2008,40,1,,March,2008.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science accessibility education
104,273,article,1216224,Mikko T. Siponen and Harri  Oinas-Kukkonen,,,,A Review of Information Security Issues and Respective Research Contributions,60--80,,21.0,computer science,10.1145/1216218.1216224,SIGMIS Database,February 2007,38,1,,February,2007.0,0095-0033,,,,,,ACM,"New York, NY, USA",computer science accessibility education
108,279,article,2339057,Michael  Wrinn,,,,Parallel Computing: Thoughts Following a Four-year Tour of Academic Outreach,4--8,,5.0,"CS principles, computational thinking, computer science education",10.1145/2339055.2339057,ACM Inroads,September 2012,3,3,,September,2012.0,2153-2184,,,,,,ACM,"New York, NY, USA",computer science accessibility education
121,303,article,1352171,Yanqing  WANG and LI  Yijun and Michael  Collins and Peijie  LIU,,,,Process Improvement of Peer Code Review and Behavior Analysis of Its Participants,107--111,,5.0,"behavior analysis, computer science education, learning outcome, peer code review (pcr), software quality assurance (sqa)",10.1145/1352135.1352171,,,,,,,2008.0,,Proceedings of the 39th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '08,,978-1-59593-799-5,"Portland, OR, USA",ACM,"New York, NY, USA",computer science accessibility education
134,327,article,358575,Kenneth I. Magel and Richard H. Austing and Alfs  Berztiss and Gerald L. Engel and John W. Hamblen and A. A.J. Hoffmann and Robert  Mathis,,,,Recommendations for Master's Level Programs in Computer Science: A Report of the ACM Curriculum Committee on Computer Science,115--123,,9.0,"computer science courses, computer science curriculum, computer science education, computer science graduate programs, master's programs",10.1145/358568.358575,Commun. ACM,March 1981,24,3,,March,1981.0,0001-0782,,,,,,ACM,"New York, NY, USA",computer science accessibility education
141,338,article,3017749,Sue  Sentance and Jane  Waite and Steve  Hodges and Emily  MacLeod and Lucy  Yeomans,,,,Creating Cool Stuff: Pupils' Experience of the BBC Micro:Bit,531--536,,6.0,"BBC micro:bit, K-12 computer science, creativity, physical computing, tangibility",10.1145/3017680.3017749,,,,,,,2017.0,,Proceedings of the 2017 ACM SIGCSE Technical Symposium on Computer Science Education,SIGCSE '17,,978-1-4503-4698-6,"Seattle, Washington, USA",ACM,"New York, NY, USA",computer science accessibility education
142,341,article,1352222,Vasil Y. Hnatyshin and Andrea F. Lobo,,,,Undergraduate Data Communications and Networking Projects Using Opnet and Wireshark Software,241--245,,5.0,"computer science education research, data communications, laboratory environments, modeling, networks, opnet, simulation, software tools, wireshark",10.1145/1352135.1352222,,,,,,,2008.0,,Proceedings of the 39th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '08,,978-1-59593-799-5,"Portland, OR, USA",ACM,"New York, NY, USA",computer science accessibility education
144,344,article,1275650,Timothy  Urness,,,,Teaching Computer Organization/Architecture by Building a Computer,72--76,,5.0,"computer architecture, computer science education, hardware",10.1145/1275633.1275650,,,,,,,2007.0,,Proceedings of the 2007 Workshop on Computer Architecture Education,WCAE '07,,978-1-59593-797-1,"San Diego, California",ACM,"New York, NY, USA",computer science accessibility education
146,347,article,1666613,Frutuoso G. M. Silva,,,,Teaching Animation in Computer Science,2:1--2:6,2.0,6.0,"animation, blender, computer science",10.1145/1666611.1666613,,,,,,,2009.0,,ACM SIGGRAPH ASIA 2009 Educators Program,SIGGRAPH ASIA '09,,,"Yokohama, Japan",ACM,"New York, NY, USA",computer science accessibility education
147,348,article,2157314,Christo  Dichev and Darina  Dicheva,,,,Open Educational Resources in Computer Science Teaching,619--624,,6.0,"open content, open education, open educational resources",10.1145/2157136.2157314,,,,,,,2012.0,,Proceedings of the 43rd ACM Technical Symposium on Computer Science Education,SIGCSE '12,,978-1-4503-1098-7,"Raleigh, North Carolina, USA",ACM,"New York, NY, USA",computer science accessibility education
0,18,article,77482,CORPORATE  Computer Science and Technology Board,,,,Scaling Up: A Research Agenda for Software Engineering,281--293,,13.0,,10.1145/77481.77482,Commun. ACM,March 1990,33,3,,March,1990.0,0001-0782,,,,,,ACM,"New York, NY, USA",computer science usability education
1,25,article,2160548,G. Michael  Poor and Laura M.  Leventhal and Julie  Barnes and Duke R.  Hutchings and Paul  Albee and Laura  Campbell,,,,No User Left Behind: Including Accessibility in Student Projects and the Impact on CS Students&Rsquo; Attitudes,5:1--5:22,5.0,22.0,"Usability, accessibility, computer science education",10.1145/2160547.2160548,Trans. Comput. Educ.,April 2012,12,2,,April,2012.0,1946-6226,,,,,,ACM,"New York, NY, USA",computer science usability education
