,type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc,keyword
31,article,2818335,Barbara  Ericson and Steven  Moore and Briana  Morrison and Mark  Guzdial,,,,Usability and Usage of Interactive Features in an Online Ebook for CS Teachers,111--120,,10.0,"Online education, computer science principles, high school teachers, professional development, secondary education",10.1145/2818314.2818335,,,,,,,2015.0,,Proceedings of the Workshop in Primary and Secondary Computing Education,WiPSCE '15,,978-1-4503-3753-3,"London, United Kingdom",ACM,"New York, NY, USA",computer science usability education
32,article,3121219,Michelle  Trim,,,,Increasing Ethical Awareness in [Future] Software Developers Using Audience-based Writing,30:1--30:5,30.0,5.0,"computer science education, ethics, technical communication, usability, writing",10.1145/3121113.3121219,,,,,,,2017.0,,Proceedings of the 35th ACM International Conference on the Design of Communication,SIGDOC '17,,978-1-4503-5160-7,"Halifax, Nova Scotia, Canada",ACM,"New York, NY, USA",computer science usability education
36,article,1647442,Alexander S. Mentis,,,,A Robotics API Dialect for Type-safe Robots: Translating Myro to Ada,91--102,,12.0,"Myro, scribbler, undergraduate computer science education",10.1145/1647420.1647442,,,,,,,2009.0,,Proceedings of the ACM SIGAda Annual International Conference on Ada and Related Technologies,SIGAda '09,,978-1-60558-475-1,"Saint Petersburg, Florida, USA",ACM,"New York, NY, USA",computer science usability education
37,article,3017799,Ashok  Basawapatna and Alexander  Repenning,,,,Employing Retention of Flow to Improve Online Tutorials,63--68,,6.0,"CS ed week, computer science education, cyberlearning, evaluation, flow, hour of code, online education, retention, usability",10.1145/3017680.3017799,,,,,,,2017.0,,Proceedings of the 2017 ACM SIGCSE Technical Symposium on Computer Science Education,SIGCSE '17,,978-1-4503-4698-6,"Seattle, Washington, USA",ACM,"New York, NY, USA",computer science usability education
40,article,2817914,Alison  Doubleday,,,,Use of Card Sorting for Online Course Site Organization Within an Integrated Science Curriculum,41--54,,14.0,"card sorting, higher education, information architecture, integrated science curriculum",,J. Usability Studies,February 2013,8,2,,February,2013.0,1931-3357,,,,,,Usability Professionals' Association,"Bloomingdale, IL",computer science usability education
41,article,2824824,Benjamin  Xie and Isra  Shabir and Hal  Abelson,,,,Measuring the Usability and Capability of App Inventor to Create Mobile Applications,1--8,,8.0,"Computer Science Education, End-User Programming, Mobile Computing, Quantitative Study, Visual Languages",10.1145/2824823.2824824,,,,,,,2015.0,,Proceedings of the 3rd International Workshop on Programming for Mobile and Touch,PROMOTO 2015,,978-1-4503-3908-7,"Pittsburgh, PA, USA",ACM,"New York, NY, USA",computer science usability education
45,article,2676660,Timothy T. Yuen and Kay A. Robbins,,,,A Qualitative Study of Students' Computational Thinking Skills in a Data-Driven Computing Class,27:1--27:19,27.0,19.0,Computational science and science education,10.1145/2676660,Trans. Comput. Educ.,February 2015,14,4,,December,2014.0,1946-6226,,,,,,ACM,"New York, NY, USA",computer science usability education
47,article,299791,Xris  Faulkner and Fintan  Culwin,,,,Integration of Usability Issues Within Initial Software Development Education. (It's All About the User Dummy!),296--300,,5.0,"computer science, curriculum, graphical user interface, human computer interaction, human computer systems, software development, texts",10.1145/299649.299791,,,,,,,1999.0,,The Proceedings of the Thirtieth SIGCSE Technical Symposium on Computer Science Education,SIGCSE '99,,1-58113-085-6,"New Orleans, Louisiana, USA",ACM,"New York, NY, USA",computer science usability education
52,article,1067467,Jacob  Perrenet and Jan Friso Groote and Eric  Kaasenbrood,,,,Exploring Students' Understanding of the Concept of Algorithm: Levels of Abstraction,64--68,,5.0,"abstraction, computer science education",10.1145/1067445.1067467,,,,,,,2005.0,,Proceedings of the 10th Annual SIGCSE Conference on Innovation and Technology in Computer Science Education,ITiCSE '05,,1-59593-024-8,"Caparica, Portugal",ACM,"New York, NY, USA",computer science usability education
54,article,359417,Richard H. Austing and Bruce H. Barnes and Gerald L. Engel,,,,A Survey of the Literature in Computer Science Education Since Curriculum '68,13--21,,9.0,"computer science, curricula, education",10.1145/359367.359417,Commun. ACM,Jan. 1977,20,1,,January,1977.0,0001-0782,,,,,,ACM,"New York, NY, USA",computer science usability education
55,article,1463688,Michael  Zyda and Victor  Lacour and Chris  Swain,,,,Operating a Computer Science Game Degree Program,71--75,,5.0,computer science game education,10.1145/1463673.1463688,,,,,,,2008.0,,Proceedings of the 3rd International Conference on Game Development in Computer Science Education,GDCSE '08,,978-1-60558-057-9,"Miami, Florida",ACM,"New York, NY, USA",computer science usability education
60,article,1836047,Amir  Zeid,,,,Using Creative Methods for Teaching Professional Ethics for Computer Science Students,18:1--18:5,18.0,5.0,computer science education,10.1145/1836029.1836047,,,,,,,2009.0,,Proceedings of the First Kuwait Conference on e-Services and e-Systems,eConf '09,,978-1-60558-797-4,Kuwait,ACM,"New York, NY, USA",computer science usability education
61,article,2844608,Cindy  Norris,,,,An Examination of Layers of Quizzing in Two Computer Systems Courses,48--53,,6.0,"computer science education, quizzing",10.1145/2839509.2844608,,,,,,,2016.0,,Proceedings of the 47th ACM Technical Symposium on Computing Science Education,SIGCSE '16,,978-1-4503-3685-7,"Memphis, Tennessee, USA",ACM,"New York, NY, USA",computer science usability education
62,article,2047608,Giuseppe  Maggiore and Andrea  Torsello and Flavio  Sartoretto and Agostino  Cortesi,,,,Engaging High School Students in Computer Science via Challenging Applications,43--48,,6.0,"computer science, education, games",10.1145/2047594.2047608,,,,,,,2011.0,,Proceedings of the 2011 Conference on Information Technology Education,SIGITE '11,,978-1-4503-1017-8,"West Point, New York, USA",ACM,"New York, NY, USA",computer science usability education
68,article,979976,Mats  Daniels and Anders  Berglund and Arnold  Pears and Sally  Fincher,,,,Five Myths of Assessment,57--61,,5.0,"Computer Science Education, assessment",,,,,,,,2004.0,,Proceedings of the Sixth Australasian Conference on Computing Education - Volume 30,ACE '04,,,"Dunedin, New Zealand","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia",computer science usability education
70,article,2445395,Binto  George and Martha  Klems and Anna  Valeva,,,,A Method for Incorporating Usable Security into Computer Security Courses,681--686,,6.0,"3P learning method, computer security education, security, usable security",10.1145/2445196.2445395,,,,,,,2013.0,,Proceeding of the 44th ACM Technical Symposium on Computer Science Education,SIGCSE '13,,978-1-4503-1868-6,"Denver, Colorado, USA",ACM,"New York, NY, USA",computer science usability education
74,article,1565822,Briana Lowe Wellman and James  Davis and Monica  Anderson,,,,Alice and Robotics in Introductory CS Courses,98--102,,5.0,"computer science, diversity, education",10.1145/1565799.1565822,,,,,,,2009.0,,"The Fifth Richard Tapia Celebration of Diversity in Computing Conference: Intellect, Initiatives, Insight, and Innovations",TAPIA '09,,978-1-60558-217-7,"Portland, Oregon",ACM,"New York, NY, USA",computer science usability education
75,article,2500364,Piotr  Chyna&#322;,,,,Testing Strategies for Evaluation of User Interfaces in SOA-based Systems,22:1--22:8,22.0,8.0,"HCI, SOA, usability, user interface",10.1145/2500342.2500364,,,,,,,2013.0,,"Proceedings of the International Conference on Multimedia, Interaction, Design and Innovation",MIDI '13,,978-1-4503-2303-1,"Warsaw, Poland",ACM,"New York, NY, USA",computer science usability education
76,article,2481454,Tim  Bell and Heidi  Newton and Peter  Andreae and Anthony  Robins,,,,The Introduction of Computer Science to NZ High Schools: An Analysis of Student Work,5--15,,11.0,"algorithms, computer science education, high school, programming languages, report-based assessment, usability",10.1145/2481449.2481454,,,,,,,2012.0,,Proceedings of the 7th Workshop in Primary and Secondary Computing Education,WiPSCE '12,,978-1-4503-1787-0,"Hamburg, Germany",ACM,"New York, NY, USA",computer science usability education
77,article,509114,David  Curtis and Edna E. Gentry and Steven I. Gordon and Susan  Ragan and Erich  Schroeder and Lisa  Bievenue and David  Emigh and Mary Ellen Verona,,,,The RiverWeb Toolsuite&Trade;: Bridging the Gap Between High-end Environmental Science and the Classroom,1--17,,17.0,"K-12 education, math education, science education, watersheds",,,,,,,,1998.0,,Proceedings of the 1998 ACM/IEEE Conference on Supercomputing,SC '98,,0-89791-984-X,"San Jose, CA",IEEE Computer Society,"Washington, DC, USA",computer science usability education
90,article,1869569,Celina  Gibbs and Yvonne  Coady,,,,Understanding Abstraction: A Means of Leveling the Playing Field in CS1?,169--174,,6.0,computer science education,10.1145/1869542.1869569,,,,,,,2010.0,,Proceedings of the ACM International Conference Companion on Object Oriented Programming Systems Languages and Applications Companion,OOPSLA '10,,978-1-4503-0240-1,"Reno/Tahoe, Nevada, USA",ACM,"New York, NY, USA",computer science usability education
94,article,2189851,Joanna  Goode and Gail  Chapman and Jane  Margolis,,,,Beyond Curriculum: The Exploring Computer Science Program,47--53,,7.0,"computer science education, exploring computer science, pedagogy",10.1145/2189835.2189851,ACM Inroads,June 2012,3,2,,June,2012.0,2153-2184,,,,,,ACM,"New York, NY, USA",computer science usability education
95,article,2043595,Linda  Marshall,,,,Developing a Computer Science Curriculum in the South African Context,9--19,,11.0,education,,,,,,,,2011.0,,Computer Science Education Research Conference,CSERC '11,,978 90 358 1987 0,"Heerlen, Netherlands","Open Universiteit, Heerlen","Open Univ., Heerlen, The Netherlands, The Netherlands",computer science usability education
100,article,503799,D. E. Stevenson,,,,Frontiers for Computer Science in Computational Science,203--210,,8.0,"computational science, education",10.1145/503720.503799,,,,,,,1992.0,,Proceedings of the 30th Annual Southeast Regional Conference,ACM-SE 30,,0-89791-506-2,"Raleigh, North Carolina",ACM,"New York, NY, USA",computer science usability education
102,article,2870663,Fabiane Barreto Vavassori Benitti and Leonardo  Sommariva,,,,Evaluation of a Game Used to Teach Usability to Undergraduate Students in Computer Science,21--39,,19.0,"educational games, learning strategies, serious games, teaching strategies, usability engineering",,J. Usability Studies,November 2015,11,1,,November,2015.0,1931-3357,,,,,,Usability Professionals' Association,"Bloomingdale, IL",computer science usability education
106,article,1404534,Kate  Sanders and Brad  Richards and Jan Erik Mostr&#246;m and Vicki  Almstrum and Stephen  Edwards and Sally  Fincher and Kat  Gunion and Mark  Hall and Brian  Hanks and Stephen  Lonergan and Robert  McCartney and Briana  Morrison and Jaime  Spacco and Lynda  Thomas,,,,DCER: Sharing Empirical Computer Science Education Data,137--148,,12.0,"computer science education, data repositories, data sharing, empirical data, information science education, research, research methods",10.1145/1404520.1404534,,,,,,,2008.0,,Proceedings of the Fourth International Workshop on Computing Education Research,ICER '08,,978-1-60558-216-0,"Sydney, Australia",ACM,"New York, NY, USA",computer science usability education
111,article,2738214,Paul  Gerber and Melanie  Volkamer and Karen  Renaud,,,,Usability Versus Privacy Instead of Usable Privacy: Google's Balancing Act Between Usability and Privacy,16--21,,6.0,"Android permissions, psychology of security, risk communication, risk perception, security education and usable security, usable privacy",10.1145/2738210.2738214,SIGCAS Comput. Soc.,February 2015,45,1,,February,2015.0,0095-2737,,,,,,ACM,"New York, NY, USA",computer science usability education
112,article,2662347,Carina  Gonz&#225;lez and Vanesa  Mu&#241;oz and Pedro  Toledo and Alberto  Mora and Lorenzo  Moreno,,,,EMATIC: An Inclusive Educational Application for Tablets,94:1--94:8,94.0,8.0,"Assistive Technology, Prototyping, Special Education, Usability Testing",10.1145/2662253.2662347,,,,,,,2014.0,,Proceedings of the XV International Conference on Human Computer Interaction,Interacci&#243;n '14,,978-1-4503-2880-7,"Puerto de la Cruz, Tenerife, Spain",ACM,"New York, NY, USA",computer science usability education
115,article,2677218,Olaf A. Hall-Holt and Kevin R. Sanft,,,,Statistics-infused Introduction to Computer Science,138--143,,6.0,"computer science education, cs1, data science, statistics",10.1145/2676723.2677218,,,,,,,2015.0,,Proceedings of the 46th ACM Technical Symposium on Computer Science Education,SIGCSE '15,,978-1-4503-2966-8,"Kansas City, Missouri, USA",ACM,"New York, NY, USA",computer science usability education
116,article,2808027,Craig S. Miller,,,,Usability Evaluation: Learning When Method Findings Converge--And When They Don'T,167--172,,6.0,"hci education, hci methods, usability evaluation",10.1145/2808006.2808027,,,,,,,2015.0,,Proceedings of the 16th Annual Conference on Information Technology Education,SIGITE '15,,978-1-4503-3835-6,"Chicago, Illinois, USA",ACM,"New York, NY, USA",computer science usability education
117,article,1656110,Wong Seng Yue and Nor Azan Mat Zin,,,,Usability Evaluation for History Educational Games,1019--1025,,7.0,"digital educational game, documentations, history educational game design, usability",10.1145/1655925.1656110,,,,,,,2009.0,,"Proceedings of the 2Nd International Conference on Interaction Sciences: Information Technology, Culture and Human",ICIS '09,,978-1-60558-710-3,"Seoul, Korea",ACM,"New York, NY, USA",computer science usability education
121,article,1822107,Tamar  Benaya and Maya  Herman and Daphna  Shahak and Ela  Zur,,,,Individual and Group Seminars and Workshops in the Computer Science Curriculum,53--57,,5.0,"computer science, education, seminars, workshops",10.1145/1822090.1822107,,,,,,,2010.0,,Proceedings of the Fifteenth Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE '10,,978-1-60558-820-9,"Bilkent, Ankara, Turkey",ACM,"New York, NY, USA",computer science usability education
123,article,2742595,Katrina  Falkner and Claudia  Szabo and Dee  Michell and Anna  Szorenyi and Shantel  Thyer,,,,Gender Gap in Academia: Perceptions of Female Computer Science Academics,111--116,,6.0,"computer science education, gender diversity",10.1145/2729094.2742595,,,,,,,2015.0,,Proceedings of the 2015 ACM Conference on Innovation and Technology in Computer Science Education,ITiCSE '15,,978-1-4503-3440-2,"Vilnius, Lithuania",ACM,"New York, NY, USA",computer science usability education
125,article,1181929,Murray  Browne and Sarah  Lowe and Scott  Wells and Michael W. Berry,,,,An Assessment of Computer Science Animations,162--168,,7.0,"CS0, computer science education, computers and education, multimedia, online learning, visualization",,J. Comput. Sci. Coll.,December 2006,22,2,,December,2006.0,1937-4771,,,,,,Consortium for Computing Sciences in Colleges,USA,computer science usability education
129,article,1384320,Paul  Curzon and Peter W. McOwan,,,,Engaging with Computer Science Through Magic Shows,179--183,,5.0,"computer science education, magic, science public engagement",10.1145/1384271.1384320,,,,,,,2008.0,,Proceedings of the 13th Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE '08,,978-1-60558-078-4,"Madrid, Spain",ACM,"New York, NY, USA",computer science usability education
130,article,1358831,Jaime  S&#225;nchez and H&#233;ctor  Flores and Mauricio  S&#225;enz,,,,Mobile Science Learning for the Blind,3201--3206,,6.0,"blind learners, mobile learning., science learning, usability, virtual acoustic environments",10.1145/1358628.1358831,,,,,,,2008.0,,CHI '08 Extended Abstracts on Human Factors in Computing Systems,CHI EA '08,,978-1-60558-012-8,"Florence, Italy",ACM,"New York, NY, USA",computer science usability education
134,article,2898465,Rahmad  Dawood,,,,Embedding HCI in Computer Science Education: A Preliminary Attempt,39--43,,5.0,"Computer Science Education, Developing Countries, HCI Education",10.1145/2898459.2898465,,,,,,,2016.0,,Proceedings of the 2Nd International Conference in HCI and UX Indonesia 2016,CHIuXiD '16,,978-1-4503-4044-1,"Jakarta, Indonesia",ACM,"New York, NY, USA",computer science usability education
141,article,1008025,Orna  Muller and Bruria  Haberman and Haim  Averbuch,,,,(An Almost) Pedagogical Pattern for Pattern-based Problem-solving Instruction,102--106,,5.0,"computer science education, teacher training",10.1145/1007996.1008025,,,,,,,2004.0,,Proceedings of the 9th Annual SIGCSE Conference on Innovation and Technology in Computer Science Education,ITiCSE '04,,1-58113-836-9,"Leeds, United Kingdom",ACM,"New York, NY, USA",computer science usability education
147,article,808622,Jean B. Rogers,,,,Inferring Cognitive Focus from Students' Programs,51--55,,5.0,"Computer science education, Programming instruction",10.1145/952980.808622,SIGCSE Bull.,February 1984,16,1,,January,1984.0,0097-8418,,,,,,ACM,"New York, NY, USA",computer science usability education
